Division,Sub Division,Feeder,Feeder Code,A/c No,Name,Address,Category,Supply Type,Mobile No,Status,Bill Basis,Total Bill Amount (Rs),Last Paid Date,Last Paid Amount (Rs),Load,Load Unit,Current Assessment (Rs),Bill Date,Current Month Consumption (kWh),Supply Voltage (kV),Connection Type,Meter Status,Meter Exception Reason,Arrear (Rs),Total Outstanding (Rs),LPSC (Rs),Payment Mode
PANKI,SDO-7,MUIR MILL SUBSTATION FEEDER,51331220051MSU,4686091107,Consumer,Kanpur,LMV-1,10,9972286282,In Service,PROV,1968.0,2026-03-10,984.0,6.6,KW,1968.0,2026-03-01,274,0.230kV,PREPAID,N,,0.0,984.0,0.0,IPYG
KALYANPUR,SDO-3,SURSA MANDIR,51331110001SUR,4683648622,Consumer,Kanpur,LMV-1,10,9569553115,Disconnected,MU,18455.03,2026-03-10,0.0,1.8,BHP,3660.0,2026-03-01,511,0.230kV,POSTPAID,N,Meter not downloadable,14795.03,-3076.12,1479.5,CARD
NAWABGANJ,SDO-2,BEGAM PURWA,51333410058BEG,4682039915,Consumer,Kanpur,LMV-2,10,9834022289,In Service,MU,1973.0,2026-03-10,1973.0,3.3,KW,1973.0,2026-03-01,262,0.230kV,POSTPAID,N,,0.0,-695.95,0.0,IPYG
BARRA,SDO-3,GREEN PARK,51331310039GRE,4687952648,Consumer,Kanpur,LMV-1,H21,9859357042,In Service,PROV,2007.0,2026-03-10,2007.0,3.4,KW,2007.0,2026-03-01,251,0.400kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,CASH
KIDWAI NAGAR,SDO-6,CARWALO NAGAR,51331110026CAR,4687734536,Consumer,Kanpur,LMV-1,100,9460759541,Disconnected,CEIL,1083.0,2026-03-10,1083.0,1.7,KW,1083.0,2026-03-01,129,0.230kV,PREPAID,F,Port Dirty/Faulty,0.0,0.0,0.0,CARD
JAJMAU,SDO-1,PALM COURT,51331320030PAL,4686300790,Consumer,Kanpur,LMV-1,100,9940221759,In Service,PROV,26760.28,2026-03-10,1909.0,4.8,KW,1909.0,2026-03-01,256,0.230kV,POSTPAID,N,On height,24851.28,24851.28,2485.13,UPI
NAWABGANJ,SDO-1,BEGAM PURWA,51333410058BEG,4686448267,Consumer,Kanpur,LMV-2,10,9466735557,In Service,ASS,262.0,2026-03-10,262.0,1.9,KW,262.0,2026-03-01,14,0.230kV,PREPAID,N,,0.0,-1082.1,0.0,UPI
KIDWAI NAGAR,SDO-1,CARWALO NAGAR,51331110026CAR,4681213419,Consumer,Kanpur,LMV-1,10,9168268069,In Service,CEIL,3522.29,2026-03-10,780.9,2.1,KW,822.0,2026-03-01,84,0.230kV,POSTPAID,N,Meter not downloadable,2700.29,2741.39,270.03,CARD
GUMTI,SDO-5,ELGIN,51331110001ELG,4684872110,Consumer,Kanpur,LMV-1,10,9703866620,In Service,MU,1013.49,2026-03-10,608.0,1.9,KW,760.0,2026-03-01,68,0.400kV,POSTPAID,N,Meter not downloadable,253.49,-2004.13,25.35,CARD
GENERALGANJ,SDO-7,IDGAH,51331320049IDG,4681777780,Consumer,Kanpur,LMV-1,101,9778353622,In Service,CEIL,2141.34,2026-03-10,1998.0,2.0,KW,1998.0,2026-03-01,264,0.400kV,POSTPAID,F,,143.34,143.34,14.33,CARD
GOVIND NAGAR,SDO-8,GURUVRAT ULLAH PARK,51331120033GUR,4683826800,Consumer,Kanpur,LMV-1,10,9545172753,Disconnected,PROV,2216.27,2026-03-10,626.5,2.2,KVA,1253.0,2026-03-01,150,0.230kV,POSTPAID,N,,963.27,1589.77,96.33,CARD
ZARIB CHAUKI,SDO-2,ROOPAM,51331230046ROO,4683719458,Consumer,Kanpur,LMV-2,10,9254160087,In Service,MU,771.0,2026-03-10,385.5,2.3,KW,771.0,2026-03-01,99,0.230kV,POSTPAID,N,On height,0.0,385.5,0.0,UPI
SHUKLAGANJ,SDO-8,ASHOK NAGAR,51331320050ASH,4681433346,Consumer,Kanpur,LMV-1,10,9898870974,In Service,MU,1311.7,2026-03-10,1173.0,3.3,KW,1173.0,2026-03-01,144,0.230kV,POSTPAID,F,On height,138.7,-1694.63,13.87,CARD
JAJMAU,SDO-5,JK CANCER,51331320030JKC,4684444059,Consumer,Kanpur,LMV-1,101,9893654206,In Service,MU,529.0,2026-03-10,529.0,0.9,KW,529.0,2026-03-01,35,0.230kV,PREPAID,N,,0.0,-520.0,0.0,CARD
SISAMAU,SDO-1,M-18B BANS MANDI,51331110001MBA,4689671499,Consumer,Kanpur,LMV-2,10,9455512029,In Service,MU,7020.74,2026-03-10,1290.0,3.5,KW,1290.0,2026-03-01,159,0.230kV,PREPAID,N,,5730.74,5730.74,573.07,UPI
NAWABGANJ,SDO-3,SUTER GANJ,51331230046SUT,4687257428,Consumer,Kanpur,LMV-1,H21,9223724399,In Service,MU,771.0,2026-03-10,732.45,2.0,KW,771.0,2026-03-01,85,0.230kV,PREPAID,N,On height,0.0,38.55,0.0,CASH
PANKI,SDO-7,MALL ROAD-101,51331220051MAL,4681929128,Consumer,Kanpur,LMV-1,101,9143762403,In Service,ASS,10522.22,2026-03-10,605.0,1.9,KW,605.0,2026-03-01,65,0.230kV,POSTPAID,F,,9917.22,9917.22,991.72,UPI
ARMAPUR,SDO-8,MANJUSHREE,51331110001MAN,4689186951,Consumer,Kanpur,LMV-2,101,9914220257,In Service,PROV,2096.14,2026-03-10,1985.0,1.7,KW,1985.0,2026-03-01,268,0.230kV,POSTPAID,N,Port Dirty/Faulty,111.14,-2782.82,11.11,CARD
GOVIND NAGAR,SDO-2,KESA HOUSE,51331220051KES,4682706300,Consumer,Kanpur,HV-1,10,9596146504,In Service,MU,2223.0,2026-03-10,2111.85,1.8,KW,2223.0,2026-03-01,277,0.230kV,POSTPAID,N,Meter not downloadable,0.0,111.15,0.0,CARD
HARBANSH MOHAL,SDO-3,LAL KUAN,51331210047LAL,4687775022,Consumer,Kanpur,LMV-1,10,9777255280,In Service,MU,3745.0,2026-03-10,3745.0,1.9,KW,3745.0,2026-03-01,519,0.230kV,POSTPAID,N,,0.0,0.0,0.0,IPYG
KALYANPUR,SDO-3,BAKAR MANDI,51331210045BAK,4684478407,Consumer,Kanpur,LMV-1,10,9839806609,In Service,CEIL,561.0,2026-03-10,561.0,2.2,KW,561.0,2026-03-01,68,0.400kV,POSTPAID,N,,0.0,-175.45,0.0,UPI
DADA NAGAR,SDO-4,KDA,51332110070KDA,4687650258,Consumer,Kanpur,LMV-1,10,9162041809,In Service,ASS,1084.0,2026-03-10,1029.8,3.5,KW,1084.0,2026-03-01,127,0.230kV,PREPAID,N,Meter not downloadable,0.0,54.2,0.0,IPYG
DADA NAGAR,SDO-2,KHALASI LINE,51331320049KHA,4686260838,Consumer,Kanpur,LMV-1,10,9277067890,Disconnected,MU,994.69,2026-03-10,700.0,1.7,KW,700.0,2026-03-01,92,0.400kV,POSTPAID,N,,294.69,294.69,29.47,UPI
FAZALGANJ,SDO-4,DALEL PURWA,51331120020DAL,4683841740,Consumer,Kanpur,LMV-2,10,9952332536,In Service,ASS,1158.63,2026-03-10,1015.0,1.0,KW,1015.0,2026-03-01,134,0.230kV,POSTPAID,F,,143.63,143.63,14.36,IPYG
RAWATPUR,SDO-5,MOTI JHEEL,51331320030MOT,4684802779,Consumer,Kanpur,LMV-1,10,9235716684,In Service,MU,772.0,2026-03-10,772.0,1.0,KW,772.0,2026-03-01,88,0.230kV,POSTPAID,F,,0.0,-325.3,0.0,UPI
VIKAS NAGAR,SDO-2,BHANNA PURWA,51331510043BHA,4681083566,Consumer,Kanpur,LMV-1,10,9763332696,In Service,MU,1083.0,2026-03-10,866.4,2.3,KW,1083.0,2026-03-01,144,0.230kV,POSTPAID,N,,0.0,-431.48,0.0,UPI
FAZALGANJ,SDO-1,IFTKHARABAD,51331120020IFT,4683132140,Consumer,Kanpur,LMV-2,10,9134884055,Disconnected,CEIL,800.0,2026-03-10,760.0,4.0,KW,800.0,2026-03-01,96,0.400kV,PREPAID,N,,0.0,40.0,0.0,CASH
BARRA,SDO-5,BEEMA CHAURAHA,51333310083BEE,4687300761,Consumer,Kanpur,LMV-1,10,9967667135,In Service,MU,1097.0,2026-03-10,1097.0,1.9,KW,1097.0,2026-03-01,130,0.400kV,POSTPAID,F,,0.0,-535.21,0.0,IPYG
VIKAS NAGAR,SDO-8,PARED,51331220048PAR,4685255789,Consumer,Kanpur,LMV-1,10,9519231460,In Service,ASS,613.0,2026-03-10,490.4,2.1,KW,613.0,2026-03-01,67,0.230kV,POSTPAID,N,On height,0.0,122.6,0.0,IPYG
KAKADEO,SDO-5,GANGOTRI,51331320049GAN,4683325457,Consumer,Kanpur,LMV-1,100,9709337458,In Service,PROV,726.0,2026-03-10,726.0,12.4,KW,726.0,2026-03-01,79,0.230kV,PREPAID,N,Meter not downloadable,0.0,0.0,0.0,IPYG
RAWATPUR,SDO-8,LAKAR MANDI,51331210045LAK,4684990512,Consumer,Kanpur,LMV-1,10,9514642632,In Service,MU,543.0,2026-03-10,434.4,2.4,KW,543.0,2026-03-01,64,0.230kV,POSTPAID,N,,0.0,108.6,0.0,UPI
KIDWAI NAGAR,SDO-7,CARWALO NAGAR,51331110026CAR,4682322735,Consumer,Kanpur,HV-1,10,9757021598,In Service,CEIL,6468.0,2026-03-10,6468.0,4.0,KVA,6468.0,2026-03-01,910,0.230kV,PREPAID,N,On height,0.0,0.0,0.0,CASH
SISAMAU,SDO-5,M-18B BANS MANDI,51331110001MBA,4681898703,Consumer,Kanpur,LMV-1,10,9781009683,Disconnected,ASS,819.0,2026-03-10,819.0,1.7,KW,819.0,2026-03-01,94,0.400kV,POSTPAID,N,,0.0,0.0,0.0,UPI
RAWATPUR,SDO-3,LAKAR MANDI,51331210045LAK,4687301939,Consumer,Kanpur,LMV-1,100,9910573364,Disconnected,ASS,1065.43,2026-03-10,961.0,2.6,KW,961.0,2026-03-01,127,0.230kV,POSTPAID,N,,104.43,104.43,10.44,UPI
GENERALGANJ,SDO-5,DY KA PARAV,51331120020DYK,4685298311,Consumer,Kanpur,LMV-1,10,9719634484,In Service,CEIL,3771.0,2026-03-10,0.0,2.2,KW,3771.0,2026-03-01,516,0.230kV,PREPAID,N,,0.0,-2927.99,0.0,CASH
COLONELGANJ,SDO-8,TIKONIA PARK,51331310039TIK,4681772816,Consumer,Kanpur,LMV-1,10,9192441269,In Service,PROV,4635.15,2026-03-10,895.2,3.3,KW,1119.0,2026-03-01,122,0.230kV,POSTPAID,N,,3516.15,3739.95,351.62,CARD
COLONELGANJ,SDO-3,TIKONIA PARK,51331310039TIK,4683635362,Consumer,Kanpur,LMV-1,10,9954141397,In Service,MU,7775.96,2026-03-10,6561.0,2.0,BHP,6561.0,2026-03-01,930,0.230kV,POSTPAID,N,Meter not downloadable,1214.96,-3284.42,121.5,UPI
VIKAS NAGAR,SDO-3,PARED,51331220048PAR,4686135849,Consumer,Kanpur,LMV-1,10,9349955299,In Service,MU,1294.0,2026-03-10,1294.0,2.3,KVA,1294.0,2026-03-01,144,0.230kV,POSTPAID,N,,0.0,-276.37,0.0,CASH
GUMTI,SDO-7,ELGIN,51331110001ELG,4683354440,Consumer,Kanpur,LMV-1,10,9553629569,In Service,MU,802.0,2026-03-10,802.0,2.3,KW,802.0,2026-03-01,82,0.230kV,POSTPAID,N,Meter not downloadable,0.0,0.0,0.0,CARD
JAJMAU,SDO-7,JK CANCER,51331320030JKC,4688145441,Consumer,Kanpur,LMV-1,10,9987730823,In Service,CEIL,12249.89,2026-03-10,1015.2,2.0,KW,1269.0,2026-03-01,141,0.230kV,PREPAID,N,,10980.89,11234.69,1098.09,IPYG
FAZALGANJ,SDO-4,DALEL PURWA,51331120020DAL,4688399967,Consumer,Kanpur,LMV-1,10,9257639409,In Service,PROV,3709.0,2026-03-10,3709.0,1.8,KW,3709.0,2026-03-01,509,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,UPI
GOVIND NAGAR,SDO-8,KESA HOUSE,51331220051KES,4689358435,Consumer,Kanpur,LMV-1,10,9674924998,In Service,MU,1998.0,2026-03-10,1898.1,1.2,KW,1998.0,2026-03-01,261,0.230kV,POSTPAID,N,On height,0.0,99.9,0.0,UPI
FAZALGANJ,SDO-3,IFTKHARABAD,51331120020IFT,4687582440,Consumer,Kanpur,LMV-1,10,9463139724,Disconnected,MU,1253.0,2026-03-10,1253.0,1.6,KW,1253.0,2026-03-01,147,0.230kV,POSTPAID,N,,0.0,-55.76,0.0,IPYG
ARMAPUR,SDO-1,SISAMAU,51331210045SIS,4682094330,Consumer,Kanpur,LMV-1,10,9605531965,In Service,MU,1089.0,2026-03-10,871.2,1.9,KW,1089.0,2026-03-01,127,0.230kV,PREPAID,N,,0.0,217.8,0.0,CASH
ZARIB CHAUKI,SDO-7,RAWATPUR,51331320030RAW,4684303689,Consumer,Kanpur,LMV-1,10,9836258275,In Service,MU,5539.87,2026-03-10,0.0,1.9,KW,1248.0,2026-03-01,157,0.230kV,POSTPAID,N,,4291.87,5539.87,429.19,UPI
PANKI,SDO-8,TAR GHAR,51331430038TAR,4682997270,Consumer,Kanpur,LMV-1,10,9179948416,In Service,MU,659.0,2026-03-10,0.0,2.2,KW,659.0,2026-03-01,72,0.400kV,POSTPAID,F,On height,0.0,659.0,0.0,CASH
KIDWAI NAGAR,SDO-2,CARWALO NAGAR,51331110026CAR,4688614095,Consumer,Kanpur,LMV-1,H21,9466920082,In Service,MU,3620.78,2026-03-10,1925.65,2.3,KW,2027.0,2026-03-01,261,0.400kV,POSTPAID,N,On height,1593.78,-867.38,159.38,UPI
BARRA,SDO-2,BEEMA CHAURAHA,51333310083BEE,4685090446,Consumer,Kanpur,LMV-1,10,9263741936,In Service,PROV,1290.0,2026-03-10,1290.0,2.4,KW,1290.0,2026-03-01,144,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,CASH
ZARIB CHAUKI,SDO-7,RAWATPUR,51331320030RAW,4683952638,Consumer,Kanpur,HV-1,10,9614641700,In Service,MU,4146.75,2026-03-10,3859.0,2.6,KW,3859.0,2026-03-01,527,0.230kV,POSTPAID,N,,287.75,-620.92,28.78,UPI
DADA NAGAR,SDO-2,KHALASI LINE,51331320049KHA,4685308934,Consumer,Kanpur,LMV-2,H21,9398785252,In Service,MU,802.0,2026-03-10,761.9,4.3,KW,802.0,2026-03-01,74,0.230kV,POSTPAID,N,Meter not downloadable,0.0,40.1,0.0,CARD
SHUKLAGANJ,SDO-1,SHIVALA PT,51331420034SHI,4684838738,Consumer,Kanpur,LMV-1,10,9112625738,Disconnected,CEIL,1312.0,2026-03-10,656.0,1.7,KW,1312.0,2026-03-01,153,0.400kV,POSTPAID,N,,0.0,656.0,0.0,CARD
PANKI,SDO-4,MALL ROAD-101,51331220051MAL,4689178270,Consumer,Kanpur,LMV-1,10,9982832527,In Service,MU,1879.0,2026-03-10,1785.05,1.1,KW,1879.0,2026-03-01,250,0.400kV,POSTPAID,N,Meter not downloadable,0.0,93.95,0.0,CASH
SHUKLAGANJ,SDO-6,SHIVALA PT,51331420034SHI,4689775723,Consumer,Kanpur,LMV-2,10,9411226969,In Service,CEIL,1219.0,2026-03-10,1219.0,1.8,KW,1219.0,2026-03-01,135,0.400kV,POSTPAID,N,Port Dirty/Faulty,0.0,-2378.82,0.0,UPI
SISAMAU,SDO-3,PANI KI TANKI BECON GANJ,51331210047NEW,4687861316,Consumer,Kanpur,LMV-1,101,9167162547,In Service,PROV,1177.0,2026-03-10,941.6,2.4,KW,1177.0,2026-03-01,138,0.230kV,POSTPAID,N,On height,0.0,235.4,0.0,CARD
PANKI,SDO-8,TAR GHAR,51331430038TAR,4688747412,Consumer,Kanpur,LMV-1,10,9704912002,In Service,ASS,4006.0,2026-03-10,4006.0,2.5,KW,4006.0,2026-03-01,531,0.230kV,POSTPAID,N,,0.0,-733.86,0.0,IPYG
ARMAPUR,SDO-6,SISAMAU,51331210045SIS,4681790666,Consumer,Kanpur,LMV-1,100,9564424325,In Service,MU,1333.0,2026-03-10,0.0,1.7,KW,1333.0,2026-03-01,152,0.230kV,POSTPAID,N,,0.0,-1419.65,0.0,CASH
VIKAS NAGAR,SDO-2,200MLD JAL SANSTHAN,51331320050MLD,4685956494,Consumer,Kanpur,LMV-1,100,9107325585,In Service,MU,10673.06,2026-03-10,3960.0,2.2,BHP,3960.0,2026-03-01,539,0.230kV,POSTPAID,N,Meter not downloadable,6713.06,6713.06,671.31,IPYG
HARBANSH MOHAL,SDO-3,LAL KUAN,51331210047LAL,4682535528,Consumer,Kanpur,LMV-1,10,9409556054,In Service,MU,803.0,2026-03-10,803.0,2.3,KW,803.0,2026-03-01,86,0.400kV,PREPAID,N,,0.0,0.0,0.0,CASH
COLONELGANJ,SDO-1,CIVIL LINES,51331220051CIV,4687314184,Consumer,Kanpur,LMV-1,10,9775163809,In Service,CEIL,2089.0,2026-03-10,1984.55,1.2,KW,2089.0,2026-03-01,267,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,104.45,0.0,UPI
GUMTI,SDO-1,ELGIN,51331110001ELG,4687584726,Consumer,Kanpur,LMV-1,100,9337136650,In Service,CEIL,227.0,2026-03-10,215.65,0.9,KW,227.0,2026-03-01,19,0.230kV,POSTPAID,F,,0.0,11.35,0.0,UPI
BARRA,SDO-8,BEEMA CHAURAHA,51333310083BEE,4684639228,Consumer,Kanpur,LMV-1,10,9852004112,In Service,MU,3243.64,2026-03-10,775.0,2.3,KW,775.0,2026-03-01,70,0.230kV,PREPAID,N,Meter not downloadable,2468.64,2468.64,246.86,IPYG
VIKAS NAGAR,SDO-1,PARED,51331220048PAR,4684296070,Consumer,Kanpur,LMV-1,H21,9200757752,In Service,CEIL,961.0,2026-03-10,961.0,2.2,KW,961.0,2026-03-01,124,0.230kV,POSTPAID,F,,0.0,0.0,0.0,CASH
NAWABGANJ,SDO-8,SUTER GANJ,51331230046SUT,4682682891,Consumer,Kanpur,LMV-1,10,9834518581,In Service,MU,4197.97,2026-03-10,336.5,1.1,KW,673.0,2026-03-01,71,0.230kV,PREPAID,N,Meter not downloadable,3524.97,3861.47,352.5,IPYG
ZARIB CHAUKI,SDO-4,ROOPAM,51331230046ROO,4687176696,Consumer,Kanpur,LMV-2,10,9514116580,In Service,MU,1100.0,2026-03-10,880.0,2.9,KW,1100.0,2026-03-01,139,0.230kV,POSTPAID,F,On height,0.0,-99.62,0.0,CASH
KIDWAI NAGAR,SDO-1,CARWALO NAGAR,51331110026CAR,4681132472,Consumer,Kanpur,LMV-1,10,9519871002,In Service,MU,330.0,2026-03-10,313.5,1.6,KW,330.0,2026-03-01,34,0.230kV,POSTPAID,N,,0.0,-1436.34,0.0,CASH
GUMTI,SDO-4,ELGIN,51331110001ELG,4684412795,Consumer,Kanpur,LMV-1,10,9929531568,In Service,PROV,14176.92,2026-03-10,1822.0,3.3,KW,1822.0,2026-03-01,251,0.230kV,PREPAID,F,,12354.92,12354.92,1235.49,UPI
HARBANSH MOHAL,SDO-6,CHANDRIKA DEVI,51331120033CHA,4683597603,Consumer,Kanpur,HV-1,101,9874766358,In Service,MU,3808.0,2026-03-10,3808.0,1.7,KW,3808.0,2026-03-01,512,0.230kV,PREPAID,N,Meter not downloadable,0.0,0.0,0.0,CASH
JAJMAU,SDO-1,JK CANCER,51331320030JKC,4689510181,Consumer,Kanpur,HV-1,H21,9548945477,In Service,PROV,20935.01,2026-03-10,1240.0,1.9,KW,1240.0,2026-03-01,141,0.230kV,PREPAID,N,,19695.01,19695.01,1969.5,IPYG
COLONELGANJ,SDO-2,NURSING HOME,51331320050NUR,4688221544,Consumer,Kanpur,LMV-1,10,9659651597,In Service,MU,1046.0,2026-03-10,1046.0,2.1,BHP,1046.0,2026-03-01,122,0.230kV,POSTPAID,N,On height,0.0,0.0,0.0,IPYG
SISAMAU,SDO-5,M-18B BANS MANDI,51331110001MBA,4685488094,Consumer,Kanpur,LMV-1,10,9528662519,In Service,MU,695.0,2026-03-10,695.0,2.0,KW,695.0,2026-03-01,71,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,UPI
NAWABGANJ,SDO-2,BEGAM PURWA,51333410058BEG,4683567539,Consumer,Kanpur,LMV-2,100,9191460981,In Service,ASS,639.0,2026-03-10,639.0,1.1,KW,639.0,2026-03-01,62,0.230kV,POSTPAID,N,,0.0,0.0,0.0,CARD
VIKAS NAGAR,SDO-6,200MLD JAL SANSTHAN,51331320050MLD,4684864020,Consumer,Kanpur,LMV-1,10,9606419841,In Service,ASS,1262.0,2026-03-10,1262.0,2.9,KW,1262.0,2026-03-01,147,0.400kV,POSTPAID,N,,0.0,0.0,0.0,CASH
NAWABGANJ,SDO-4,BEGAM PURWA,51333410058BEG,4681584347,Consumer,Kanpur,LMV-1,10,9239421586,In Service,MU,366.0,2026-03-10,366.0,2.3,KW,366.0,2026-03-01,34,0.400kV,POSTPAID,N,,0.0,-752.83,0.0,IPYG
ARMAPUR,SDO-4,MANJUSHREE,51331110001MAN,4684068848,Consumer,Kanpur,LMV-2,10,9175773419,In Service,MU,3710.0,2026-03-10,3524.5,1.0,KW,3710.0,2026-03-01,516,0.230kV,POSTPAID,N,,0.0,185.5,0.0,CARD
DADA NAGAR,SDO-4,VISHNU PURI,51331310042VIS,4681670186,Consumer,Kanpur,LMV-1,10,9167368342,Disconnected,CEIL,3858.22,2026-03-10,1231.0,4.4,KW,1231.0,2026-03-01,152,0.230kV,POSTPAID,F,,2627.22,2627.22,262.72,CASH
SHUKLAGANJ,SDO-3,ASHOK NAGAR,51331320050ASH,4689183353,Consumer,Kanpur,LMV-1,10,9676900491,In Service,MU,829.0,2026-03-10,787.55,2.3,KW,829.0,2026-03-01,85,0.230kV,POSTPAID,F,Meter not downloadable,0.0,41.45,0.0,IPYG
VIKAS NAGAR,SDO-5,PARED,51331220048PAR,4685056974,Consumer,Kanpur,HV-1,10,9568215683,In Service,MU,2232.01,2026-03-10,1884.0,2.2,KW,1884.0,2026-03-01,255,0.230kV,POSTPAID,N,Meter not downloadable,348.01,-136.11,34.8,UPI
JAJMAU,SDO-1,ELDICO,51331110026ELD,4687580041,Consumer,Kanpur,LMV-1,10,9623402412,In Service,MU,2063.0,2026-03-10,2063.0,1.2,KW,2063.0,2026-03-01,283,0.230kV,POSTPAID,N,,0.0,0.0,0.0,IPYG
GUMTI,SDO-3,KAN CHAMBER,51331220051KAN,4684352941,Consumer,Kanpur,LMV-1,H21,9548220907,In Service,ASS,1976.0,2026-03-10,1976.0,7.0,KW,1976.0,2026-03-01,270,0.400kV,POSTPAID,N,,0.0,-1082.3,0.0,CASH
COLONELGANJ,SDO-2,NURSING HOME,51331320050NUR,4689322229,Consumer,Kanpur,HV-1,10,9308787908,In Service,MU,704.0,2026-03-10,668.8,1.2,KW,704.0,2026-03-01,78,0.230kV,PREPAID,N,On height,0.0,-2786.16,0.0,UPI
FAZALGANJ,SDO-6,DALEL PURWA,51331120020DAL,4688404828,Consumer,Kanpur,LMV-1,101,9167227567,In Service,MU,17096.98,2026-03-10,561.45,2.0,KW,591.0,2026-03-01,71,0.230kV,POSTPAID,F,On height,16505.98,-1079.33,1650.6,UPI
ZARIB CHAUKI,SDO-1,ROOPAM,51331230046ROO,4689623094,Consumer,Kanpur,LMV-1,101,9543339206,In Service,MU,619.0,2026-03-10,619.0,2.1,KW,619.0,2026-03-01,68,0.230kV,POSTPAID,N,,0.0,0.0,0.0,CASH
ZARIB CHAUKI,SDO-2,ROOPAM,51331230046ROO,4688770413,Consumer,Kanpur,LMV-1,10,9202616623,In Service,MU,2113.0,2026-03-10,2113.0,1.6,KW,2113.0,2026-03-01,288,0.230kV,PREPAID,N,On height,0.0,0.0,0.0,IPYG
PANKI,SDO-2,MALL ROAD-101,51331220051MAL,4689373232,Consumer,Kanpur,LMV-1,10,9875418093,In Service,MU,1015.0,2026-03-10,812.0,4.8,KW,1015.0,2026-03-01,136,0.230kV,POSTPAID,N,Meter not downloadable,0.0,203.0,0.0,IPYG
FAZALGANJ,SDO-1,DALEL PURWA,51331120020DAL,4683342514,Consumer,Kanpur,LMV-1,10,9774272850,In Service,MU,1233.0,2026-03-10,1233.0,4.8,KW,1233.0,2026-03-01,147,0.230kV,POSTPAID,N,,0.0,-536.45,0.0,IPYG
KIDWAI NAGAR,SDO-2,CARWALO NAGAR,51331110026CAR,4688371621,Consumer,Kanpur,LMV-1,10,9294932734,Disconnected,MU,2236.0,2026-03-10,2236.0,2.3,KW,2236.0,2026-03-01,286,0.230kV,PREPAID,N,,0.0,-2577.26,0.0,CASH
RAWATPUR,SDO-1,EH FEEDER,51331220048EHF,4688399595,Consumer,Kanpur,LMV-1,10,9734001451,In Service,PROV,1076.0,2026-03-10,1076.0,1.1,KW,1076.0,2026-03-01,137,0.230kV,POSTPAID,N,Port Dirty/Faulty,0.0,0.0,0.0,CARD
SISAMAU,SDO-7,PANI KI TANKI BECON GANJ,51331210047NEW,4684556791,Consumer,Kanpur,HV-1,10,9931354187,In Service,MU,2649.18,2026-03-10,868.8,1.8,KW,1086.0,2026-03-01,124,0.230kV,POSTPAID,N,,1563.18,1780.38,156.32,IPYG
JAJMAU,SDO-8,PALM COURT,51331320030PAL,4685645309,Consumer,Kanpur,LMV-1,10,9633011442,In Service,ASS,2147.0,2026-03-10,2039.65,1.8,KVA,2147.0,2026-03-01,278,0.230kV,POSTPAID,N,,0.0,-467.13,0.0,UPI
GENERALGANJ,SDO-1,DY KA PARAV,51331120020DYK,4683611150,Consumer,Kanpur,LMV-1,10,9704436847,Disconnected,MU,12375.34,2026-03-10,6478.0,1.9,KW,6478.0,2026-03-01,912,0.230kV,POSTPAID,N,Meter not downloadable,5897.34,5897.34,589.73,CARD
VIKAS NAGAR,SDO-6,PARED,51331220048PAR,4686835143,Consumer,Kanpur,LMV-1,10,9163042149,In Service,CEIL,1958.68,2026-03-10,621.0,16.8,KW,621.0,2026-03-01,65,0.230kV,PREPAID,N,Meter not downloadable,1337.68,1337.68,133.77,IPYG
KIDWAI NAGAR,SDO-8,CARWALO NAGAR,51331110026CAR,4689887141,Consumer,Kanpur,LMV-1,10,9850435707,In Service,PROV,1126.0,2026-03-10,900.8,52.1,KW,1126.0,2026-03-01,130,0.230kV,POSTPAID,F,,0.0,225.2,0.0,CARD
COLONELGANJ,SDO-4,CIVIL LINES,51331220051CIV,4681888223,Consumer,Kanpur,LMV-1,10,9122013822,In Service,ASS,2821.15,2026-03-10,1085.0,1.6,BHP,1085.0,2026-03-01,146,0.230kV,POSTPAID,N,Meter not downloadable,1736.15,1736.15,173.62,UPI
COLONELGANJ,SDO-3,TIKONIA PARK,51331310039TIK,4684303368,Consumer,Kanpur,LMV-1,10,9955006535,In Service,MU,7312.46,2026-03-10,1633.6,2.5,KW,2042.0,2026-03-01,256,0.230kV,POSTPAID,N,On height,5270.46,-1003.76,527.05,IPYG
BARRA,SDO-4,BEEMA CHAURAHA,51333310083BEE,4683972640,Consumer,Kanpur,LMV-1,10,9741554001,In Service,MU,627.0,2026-03-10,627.0,1.8,KW,627.0,2026-03-01,70,0.230kV,PREPAID,N,,0.0,0.0,0.0,UPI
COLONELGANJ,SDO-3,TIKONIA PARK,51331310039TIK,4681242703,Consumer,Kanpur,LMV-1,10,9623599282,In Service,MU,1190.51,2026-03-10,1080.0,12.5,KW,1080.0,2026-03-01,135,0.400kV,POSTPAID,N,,110.51,-1253.89,11.05,CASH
HARBANSH MOHAL,SDO-3,CHANDRIKA DEVI,51331120033CHA,4686177742,Consumer,Kanpur,LMV-1,10,9933740654,In Service,MU,1302.0,2026-03-10,1302.0,4.5,KW,1302.0,2026-03-01,159,0.230kV,POSTPAID,N,,0.0,0.0,0.0,CARD
